Instance,Income
111994,29794.18997480068
111995,20026.62709139086
111996,38118.02993378578
111997,97314.93639330425
111998,20071.522314163863
111999,79055.13992675238
112000,83291.73623519302
112001,52054.13830132703
112002,28346.924813684953
112003,88616.95061595114
112004,16468.606446074435
112005,174950.5099169829
112006,7053.711091816329
112007,100858.82194455984
112008,227957.21395719732
112009,63883.30426078786
112010,46219.814363979815
112011,15795.52032529104
112012,32449.174619599566
112013,24698.337866735877
112014,131087.74077777163
112015,37723.69955863071
112016,40066.55746925912
112017,16519.60052293235
112018,167826.99867635986
112019,55488.985973419854
112020,23022.976460104368
112021,16797.376467431808
112022,81301.50551956454
112023,48169.925798720826
112024,10433.671409021086
112025,74161.99518146964
112026,32897.51573314729
112027,55838.92613858307
112028,23413.94886858027
112029,57041.55444298765
112030,146134.14267998748
112031,185963.52284632853
112032,206021.47389760104
112033,97755.33506508713
112034,237179.5601789495
112035,88377.4899970894
112036,171940.53723740013
112037,134103.56308270353
112038,196798.8714949374
112039,42348.18629362236
112040,59563.2552383732
112041,45659.33981389213
112042,30121.317653145466
112043,58708.54647669292
112044,23669.79328659232
112045,22164.33592200543
112046,241654.8143347165
112047,17990.186172967304
112048,12052.850916207246
112049,95437.33445990457
112050,36891.07764185138
112051,72432.255384992
112052,119548.89330246014
112053,182073.15552757794
112054,74492.7982883286
112055,16710.341623410346
112056,76637.98079353619
112057,27953.68879012422
112058,47395.51314159976
112059,29464.162086848744
112060,274074.93977332476
112061,148579.40843124993
112062,211266.03622881643
112063,62960.24705854781
112064,26926.83878902668
112065,58063.380270979374
112066,18861.577705045846
112067,103971.63656754525
112068,74092.85819460975
112069,264614.3026612462
112070,319671.17799539043
112071,60342.88139081213
112072,73895.28522087181
112073,34893.808997626555
112074,20846.80415438686
112075,17676.926187549318
112076,104505.12938674797
112077,1006997.7536736085
112078,14472.971083228005
112079,146530.32567101257
112080,91632.23225940895
112081,812996.1254483826
112082,23476.675868263712
112083,110906.55784853752
112084,24758.484306967322
112085,37172.09155992089
112086,19333.321935870455
112087,57768.405400768344
112088,117633.59739994598
112089,42135.799154341286
112090,167726.0561629655
112091,22685.06009129395
112092,21343.67597889113
112093,64754.91053233389
112094,17046.302858802916
112095,27765.918798262304
112096,113152.39657163936
112097,16451.55411348921
112098,19771.452498256607
112099,25094.685761863082
112100,30011.26864482748
112101,194366.78246707463
112102,16875.506133332765
112103,133301.3236235986
112104,63727.04714340078
112105,47952.65014183625
112106,86010.98482871345
112107,96747.77776289357
112108,63288.35208083267
112109,18657.47862724737
112110,38319.34345916859
112111,23843.930270633715
112112,70587.07293718819
112113,56882.96495487661
112114,56303.06127063713
112115,24883.15766863919
112116,48540.38484343988
112117,80632.13155682941
112118,24419.709926689306
112119,30216.54550239358
112120,453812.71962648566
112121,106166.49587031147
112122,440634.51568239724
112123,221154.77181325812
112124,47715.84216153992
112125,159444.84853038288
112126,175973.87557790917
112127,14590.421312958275
112128,21529.349770334706
112129,104036.15839327322
112130,86050.94129361404
112131,34058.80363500921
112132,65907.80392595618
112133,240115.86830905787
112134,30883.383903686674
112135,11748.278268442751
112136,28467.26161590607
112137,20130.702117152254
112138,46299.02600553816
112139,50248.80536589044
112140,19153.20920865858
112141,33048.84440418608
112142,72679.31337569871
112143,187506.36237230772
112144,19720.743546348273
112145,18193.861667548863
112146,35802.140063386054
112147,227343.62100764338
112148,39306.50662898961
112149,58917.56007806579
112150,17401.649382345477
112151,336681.0593865283
112152,97967.22751765813
112153,47079.90626019924
112154,37006.45035914901
112155,81642.61659290465
112156,55443.4504017172
112157,99124.16415270751
112158,28942.93672612969
112159,259323.44619478285
112160,42493.025113442716
112161,142010.6607677186
112162,73469.80850381828
112163,24099.659439752846
112164,36422.26027980407
112165,110468.26012736275
112166,41568.31915617135
112167,30959.84175801498
112168,38724.49581685721
112169,260954.55924342127
112170,211424.3168076548
112171,37769.52383693862
112172,15783.715781945679
112173,126512.39329651
112174,27297.98887174095
112175,34252.924587733585
112176,24455.04654980993
112177,83743.13863870785
112178,14253.517070280637
112179,23391.75676593861
112180,24852.54221802415
112181,13686.61391805965
112182,239170.1445629706
112183,86648.15431304381
112184,11712.88246146986
112185,248753.82217005076
112186,18642.98561016327
112187,122467.17830095801
112188,104888.60658232422
112189,32784.5316780586
112190,48174.91687153944
112191,81618.99704385891
112192,228156.24500773998
112193,26332.289500921343
112194,168065.6006432657
112195,31942.098080334043
112196,22328.315231252076
112197,190933.06077969007
112198,20670.546030925885
112199,31285.811127306297
112200,37519.89369455779
